Row_number,GlobalID,Sapling_tag,Species,Nonlisted_species,Length,Notes,ParentGlobalID,Date_started,Date_edited,Site,Date_submission,Personnel,Quadrat,Subquadrat,Quad_notes,x,y,Status,Status_NOTES,
1,25b71da1-b869-460e-9680-0af75333f85d,1120001,Lindera_benzoin,NA,40.5,NA,04756f66-eb6c-4040-a489-d16358dc27ba,6/20/23 12:43,6/20/23 12:43,TFO,6/19/23 16:00,Ian_Stonefield,0112,E,NA,-75.19519946,40.16334393,LI,,
2,998035e2-f3e7-4629-898c-287a57261847,1120002,Acer_rubrum,NA,13,NA,5e3abee3-e913-4604-b151-0c0a579e0eb5,6/20/23 12:43,6/20/23 12:43,TFO,6/19/23 16:00,Ian_Stonefield,0112,B,NA,-75.1951878,40.16330912,LI,,
3,92d4b5a2-2eb7-4bcc-8fd0-5a0b420840e1,1120003,Liriodendron_tulipifera,NA,8.9,NA,5e3abee3-e913-4604-b151-0c0a579e0eb5,6/20/23 12:43,6/20/23 12:43,TFO,6/19/23 16:00,Ian_Stonefield,0112,B,NA,-75.1951878,40.16330912,LI,,
4,1d1be2e5-a2bb-4a4c-a2e6-56021986c5df,1120004,Liriodendron_tulipifera,NA,12.5,NA,5e3abee3-e913-4604-b151-0c0a579e0eb5,6/20/23 12:43,6/20/23 12:43,TFO,6/19/23 16:00,Ian_Stonefield,0112,B,NA,-75.1951878,40.16330912,LI,,
5,b5f1ab29-61ed-4c3a-bd9e-e4af1fa2c5fc,1120005,Liriodendron_tulipifera,NA,10.4,NA,5e3abee3-e913-4604-b151-0c0a579e0eb5,6/20/23 12:43,6/20/23 12:43,TFO,6/19/23 16:00,Ian_Stonefield,0112,B,NA,-75.1951878,40.16330912,LI,,
6,c6b923b1-1297-4e4f-896d-944757c9aa57,1120006,Liriodendron_tulipifera,NA,8.1,NA,5e3abee3-e913-4604-b151-0c0a579e0eb5,6/20/23 12:43,6/20/23 12:43,TFO,6/19/23 16:00,Ian_Stonefield,0112,B,NA,-75.1951878,40.16330912,LI,,
7,8c564c71-a639-4e2b-ac6f-d91d1c11eaa2,1120007,Liriodendron_tulipifera,NA,6.5,NA,5c256a8b-004b-4e73-b85b-e6a116ddcef7,6/20/23 12:43,6/20/23 12:43,TFO,6/19/23 16:00,Ian_Stonefield,0112,C,NA,-75.19532421,40.16331025,D,,
8,fe108ee1-d79e-444b-896e-c32839fe7f17,4130039,Fraxinus_americana,NA,57,NA,a333616e-05a9-491b-be43-b641ebe581b9,6/26/23 19:30,6/26/23 19:30,TFO,6/21/23 16:00,Chris_LeClair,0413,B,NA,-75.19547102,40.16279459,LI,,
9,26cd3431-dab6-4fed-96ba-b03770b27824,4130040,Lindera_benzoin,NA,72,NA,a333616e-05a9-491b-be43-b641ebe581b9,6/26/23 19:30,6/26/23 19:30,TFO,6/21/23 16:00,Chris_LeClair,0413,B,NA,-75.19547102,40.16279459,LI,,
10,911d019d-8f78-44ff-bb12-d730fe4d4152,4130041,Lindera_benzoin,NA,133,NA,a333616e-05a9-491b-be43-b641ebe581b9,6/26/23 19:30,6/26/23 19:30,TFO,6/21/23 16:00,Chris_LeClair,0413,B,NA,-75.19547102,40.16279459,LI,,
11,b1b39285-86fc-4a9d-8596-1b3348577c49,4130042,Lindera_benzoin,NA,84.5,NA,a333616e-05a9-491b-be43-b641ebe581b9,6/26/23 19:30,6/26/23 19:30,TFO,6/21/23 16:00,Chris_LeClair,0413,B,NA,-75.19547102,40.16279459,LI,,
12,b47a857f-38d1-40ca-82b7-3204075a2961,4130043,Lindera_benzoin,NA,87.5,NA,a333616e-05a9-491b-be43-b641ebe581b9,6/26/23 19:30,6/26/23 19:30,TFO,6/21/23 16:00,Chris_LeClair,0413,B,NA,-75.19547102,40.16279459,LI,,
13,25363036-25fc-41c1-9366-57b9b2433adb,4130044,Prunus_virginiana,NA,52,NA,a333616e-05a9-491b-be43-b641ebe581b9,6/26/23 19:30,6/26/23 19:30,TFO,6/21/23 16:00,Chris_LeClair,0413,B,NA,-75.19547102,40.16279459,LI,,
14,fb876e66-79e8-46ba-a756-c2fe262b8238,4130045,Lindera_benzoin,NA,95,NA,a333616e-05a9-491b-be43-b641ebe581b9,6/26/23 19:30,6/26/23 19:30,TFO,6/21/23 16:00,Chris_LeClair,0413,B,NA,-75.19547102,40.16279459,LI,,
